date,product_id,product_name,product_category,order_date,availability_date,supplier_id,supplier_name,supplier_location,supplier_reliability,quantity_ordered,quantity_available,demand_forecast
2024-06-01,113,Sony FE 24-70mm F2.8 GM,electronics,2023-04-21,2023-07-25,1,ElectroMart,Japan,0.86,1653,970,272
2023-04-05,105,Apple TV 4K,electronics,2023-04-28,2024-11-12,4,Innovative Devices,South Korea,0.72,337,612,1196
2024-10-11,30,Dell Inspiron 14,electronics,2023-10-13,2023-12-16,6,TechSource Inc.,Brazil,0.82,1240,545,862
2024-03-28,9,Epson EcoTank ET-2760,electronics,2023-01-27,2024-06-02,5,ElectroMart,Canada,0.71,697,191,1033
2024-07-18,28,LG OLED GX Series,electronics,2024-09-15,2024-12-19,9,GlobalElectro Ltd.,India,0.98,1426,623,1560
2024-07-28,83,LG UltraGear Monitor,electronics,2023-10-01,2024-06-25,9,Innovative Devices,Germany,0.91,474,89,1035
2023-01-10,111,Dell Inspiron 14,electronics,2023-01-30,2023-10-11,5,Innovative Devices,Brazil,0.96,1048,944,564
2023-03-19,69,NVIDIA GeForce RTX 3080,electronics,2023-10-07,2024-03-20,9,ElectroMart,South Korea,0.94,1854,240,364
2023-06-02,25,Sony WH-1000XM4 Wireless Headphones,electronics,2023-11-13,2024-03-26,4,TechSource Inc.,Canada,0.94,877,693,772
2024-07-12,123,Huawei Mate 50 Pro,electronics,2023-12-14,2024-09-18,9,PremiumElectronics,South Korea,0.72,1715,1162,1499
2024-01-14,57,Jabra Elite 85t,electronics,2023-01-07,2024-07-22,6,SmartGadgets Co.,Japan,0.86,566,571,188
2024-08-19,39,Oculus Rift S,electronics,2023-07-05,2023-11-07,2,GadgetPro,USA,0.95,477,1367,1777
2024-07-19,109,Nikon D850,electronics,2023-05-27,2023-12-05,7,PremiumElectronics,South Korea,0.84,1612,1027,1326
2023-02-12,75,Sony FE 70-200mm F2.8 GM,electronics,2023-03-13,2024-11-17,3,DeviceWorld,USA,0.72,1303,48,433
2023-11-12,76,Sony A7 III Camera,electronics,2023-05-26,2023-11-09,6,TechSource Inc.,Canada,0.72,1785,461,321
2023-02-10,74,Razer Huntsman Elite,electronics,2023-02-01,2024-04-11,9,ElectroMart,Japan,0.75,116,1403,1831
2024-01-02,7,Google Nest Hub Max,electronics,2023-04-04,2024-09-19,7,SmartGadgets Co.,USA,0.96,1063,212,167
2023-09-13,122,Samsung Galaxy Buds2,electronics,2024-01-21,2024-12-17,5,GadgetPro,USA,0.8,107,510,613
2024-11-13,5,Sennheiser Momentum 3,electronics,2024-03-05,2024-04-09,8,PremiumElectronics,Brazil,0.75,1332,1199,1996
2023-12-29,83,Epson EcoTank ET-2760,electronics,2023-12-16,2024-04-12,1,FutureTech,Canada,0.9,1911,1166,1745
2024-09-27,65,Apple HomePod Mini,electronics,2023-11-16,2024-10-01,2,GlobalElectro Ltd.,South Korea,0.92,1245,792,1250
2023-06-08,86,Huawei Mate 50 Pro,electronics,2023-11-29,2024-03-31,5,PremiumElectronics,Brazil,0.77,819,1356,1378
2023-06-16,45,Apple iPad Air 4th Gen,electronics,2024-09-02,2024-10-26,7,DeviceWorld,USA,0.99,1282,1049,1139
2024-02-27,36,ASUS ROG Strix Scar 17,electronics,2023-02-23,2023-03-28,4,SmartGadgets Co.,Canada,0.76,403,190,1185
2023-01-26,70,Microsoft Xbox Series S,electronics,2023-06-09,2024-11-28,9,Innovative Devices,India,0.9,1544,430,980
2023-07-03,19,Samsung Galaxy Z Flip 4,electronics,2023-06-11,2024-10-24,1,GadgetPro,Canada,0.72,1871,227,531
2024-02-26,91,Google Nest Audio,electronics,2023-02-20,2024-01-18,6,GadgetPro,Germany,0.78,1337,689,367
2023-09-12,19,DJI Mavic Air 2,electronics,2023-03-25,2024-12-06,8,ElectroMart,USA,0.96,1885,428,878
2023-04-21,58,Samsung Galaxy Buds Pro,electronics,2024-03-10,2024-09-24,7,HighTech Solutions,Brazil,0.8,1918,166,1592
2024-01-27,61,LG UltraWide Monitor,electronics,2024-05-12,2024-12-05,3,SmartGadgets Co.,China,0.81,1550,631,1890
2024-04-16,92,Apple iPhone 14,electronics,2023-08-09,2023-09-09,3,GadgetPro,India,0.83,257,79,1992
2023-12-25,113,Google Pixel 6 Pro,electronics,2024-06-08,2024-11-01,2,HighTech Solutions,Brazil,0.92,667,1002,1807
2023-11-09,56,Canon EOS R5,electronics,2023-04-27,2024-01-21,1,ElectroMart,Germany,0.85,495,283,1112
2023-08-22,117,Samsung M7 Smart Monitor,electronics,2023-12-20,2024-01-16,3,GlobalElectro Ltd.,South Korea,0.96,719,739,1324
2023-01-25,58,Bose QuietComfort Earbuds II,electronics,2023-04-24,2024-08-13,2,GlobalElectro Ltd.,China,0.83,104,786,1447
2023-12-03,80,Sony FE 24-70mm F2.8 GM,electronics,2024-08-30,2024-12-06,6,SmartGadgets Co.,Canada,0.76,1473,951,827
2023-12-26,49,NVIDIA GeForce RTX 3080,electronics,2023-11-12,2024-04-09,8,Innovative Devices,South Korea,0.74,564,946,1424
2024-10-18,14,Razer Huntsman Elite,electronics,2023-02-16,2023-03-30,7,ElectroMart,UK,0.91,1729,1127,442
2024-06-05,1,DJI Mavic Air 2,electronics,2023-08-14,2024-08-20,7,HighTech Solutions,USA,0.97,1615,733,1554
2024-07-03,118,GoPro HERO11,electronics,2023-02-26,2024-01-21,10,SmartGadgets Co.,Canada,0.99,397,1313,537
2023-12-06,3,Samsung QLED TV,electronics,2023-01-08,2024-02-22,3,DeviceWorld,China,0.75,676,667,1711
2023-01-29,12,Canon EF 24-70mm F2.8L II USM,electronics,2023-07-29,2023-11-28,2,GadgetPro,China,0.96,1177,772,273
2023-04-29,74,Canon RF 50mm F1.2L,electronics,2023-11-05,2024-11-06,1,GlobalElectro Ltd.,India,0.85,679,1348,658
